Name	Color	Cost	House Cost	Rent	1st House	2nd House	3rd House	4th House	Hotel
Mediterranean Ave.	0	60	50	2	10	30	90	160	250
Baltic Ave.	0	60	50	4	20	30	180	320	450
Oriental Ave.	1	100	50	6	30	90	270	400	550
Vermont Ave.	1	100	50	6	30	90	270	400	550
Connecticut Ave.	1	120	50	8	40	100	300	450	600
St. Charles Place	2	140	100	10	50	150	450	625	750
States Ave.	2	140	100	10	50	150	450	625	750
Virginia Ave.	2	160	100	12	60	180	500	700	900
St. James Place	3	180	100	14	70	200	550	750	950
Tennessee Ave.	3	180	100	14	70	200	550	750	950
New York Ave.	3	200	100	16	80	220	600	800	1000
Kentucky Ave.	4	220	150	18	90	250	700	875	1050
Indiana Ave.	4	220	150	18	90	250	700	875	1050
Illinois Ave.	4	240	150	20	100	300	750	925	1100
Atlantic Ave.	5	260	150	22	110	330	800	975	1150
Ventnor Ave.	5	260	150	22	110	330	800	975	1150
Marvin Gardens	5	280	150	24	120	360	850	1025	1200
Pacific Ave.	6	300	200	26	130	390	900	1100	1275
North Carolina Ave.	6	300	200	26	130	390	900	1100	1275
Pennsylvania Ave.	6	320	200	28	150	450	1000	1200	1400
Park Place	7	350	200	35	175	500	1100	1300	1500
Boardwalk	7	400	200	50	200	600	1400	1700	2000
Reading Railroad	8	200	n	25	50	100	200	n	n
Pennsylvania Railroad	8	200	n	25	50	100	200	n	n
B & O Railroad	8	200	n	25	50	100	200	n	n
Short Line	8	200	n	25	50	100	200	n	n
Electric Company	9	150	n	n	n	n	n	n	n
Water Works	9	150	n	n	n	n	n	n	n
